,headers_text,headers_link
0,"Las reacciones de políticos al cese al fuego con las disidencias de las Farc: “El ...
lun, 22 may 2023 / By Yaritza Acero
Luego del anuncio del presidente de la República de Colombia, Gustavo Petro , acerca de la suspensión del cese al ...",https://www.infobae.com/colombia/2023/05/22/las-reacciones-de-politicos-al-cese-al-fuego-con-las-disidencias-de-las-farc-el-primer-responsable-de-la-escalda-de-violencia-es-el/
1,"En qué va la denuncia por “violencia política” que anunció la representante Carolina Arbeláez contra ...
vie, 5 may 2023 / By María Alejandra Castillo
Por violencia política la representante a la Cámara por Bogotá del partido Cambio Radical, Carolina Arbeláez, anunció que denunciará ante ...",https://www.infobae.com/colombia/2023/05/05/en-que-va-la-denuncia-por-violencia-politica-que-anuncio-la-representante-carolina-arbelaez-contra-un-colega-del-pacto-historico/
2,"Francisco Barbosa fue citado a debate de control político en la Cámara de Representantes por ...
mié, 17 may 2023 / By Sergio Rodríguez
La representante a la Cámara de la Alianza Verde Olga Lucía Velásquez citó a debate de control político a varias ...",https://www.infobae.com/colombia/2023/05/18/francisco-barbosa-fue-citado-a-debate-de-control-politico-en-la-camara-de-representantes-por-feminicidios/
3,"Las mujeres periodistas deben protegerse de la violencia en internet: abecé del reciente fallo de ...
mié, 17 may 2023 / By César Fuquen
Las mujeres periodistas colombianas recibieron un espaldarazo de la Corte Constitucional, que ordenó a varias autoridades nacionales y electorales del ...",https://www.infobae.com/colombia/2023/05/17/las-mujeres-periodistas-deben-protegerse-de-la-violencia-en-internet-abece-del-reciente-fallo-de-la-corte-constitucional/
4,"Comisarías de familia en Bogotá fueron a debate político por no contar la capacidad para ...
sáb, 6 may 2023 / By Daniela Beltrán
Ante el incremento de casos de violencia intrafamiliar en Bogotá , durante un debate de control político en Concejo de ...",https://www.infobae.com/colombia/2023/05/06/comisarias-de-familia-en-bogota-fueron-a-debate-politico-por-no-contar-la-capacidad-para-atender-casos-de-violencia-intrafamiliar/
5,"Cada vez más cerca el histórico proyecto de ley para proteger mujeres en la política
sáb, 29 abr 2023 / By Paola Chacón
Solo un debate más separa la iniciativa de protección a las mujeres políticas de convertirse en una realidad en Colombia. ...",https://www.infobae.com/colombia/2023/04/29/cada-vez-mas-cerca-el-historico-proyecto-de-ley-para-proteger-mujeres-en-la-politica/
6,"Vainazo de Iván Duque a Gustavo Petro: “Los que justificaron la violencia y la barbarie ...
mié, 3 may 2023 / By Luis Benito
Usuarios de redes sociales fueron testigos de un nuevo “agarrón” entre Gustavo Petro y el expresidente Iván Duque , que ...",https://www.infobae.com/colombia/2023/05/03/vainazo-de-ivan-duque-a-gustavo-petro-los-que-justificaron-la-violencia-y-la-barbarie-como-metodo-politico-ahora-quieren-posar-de-pacifistas/
7,"Iván Cepeda arremetió contra Iván Duque: “Su política de guerra y él son un fracaso”
mar, 16 may 2023 / By Juan Felipe Sacristán
Iván Cepeda, delegado en la negociación con el ELN , respondió a las críticas del expresidente Iván Duque al proceso ...",https://www.infobae.com/colombia/2023/05/16/ivan-cepeda-arremetio-contra-ivan-duque-su-politica-de-guerra-y-el-son-un-fracaso/
8,"Congreso realizará debate de control político al Comisionado de Paz por el llamado “Pacto de ...
mar, 16 may 2023 / By Tatiana Munevar
Los representantes de la Comisión Primera de la Cámara adelantarán un debate de control político al Alto Comisionado de Paz ...",https://www.infobae.com/colombia/2023/05/16/congreso-realizara-debate-de-control-politico-al-comisionado-de-paz-por-el-llamado-pacto-de-la-picota/
9,"Población con orientación sexual e identidad de género diversa está abandonada por el Estado ante ...
mié, 17 may 2023
Por primera vez la Defensoría del Pueblo hizo una audiencia defensorial dirigida exclusivamente a personas con orientación sexual e identidad ...",https://www.infobae.com/colombia/2023/05/17/poblacion-con-orientacion-sexual-e-identidad-de-genero-diversa-esta-abandonada-por-el-estado-ante-la-violencia-aseguro-el-defensor-del-pueblo-se-necesitan-acciones-concretas/
